range,range type,operation,failure rate (1E-4)%,failure rate (1E-5)%,failure rate (1E-6)%,failure rate (1E-7)%,failure rate (1E-8)%,failure rate (equality)%,train type,target type
"U[-20, -10]",,add,0.0,0.0,0.0,0.0,0.0,25.1,torch.float32,torch.float32
"U[-2, -1]",,add,0.0,0.0,0.0,0.0,0.0,25.0,torch.float32,torch.float32
"U[-1.2, -1.1]",,add,0.0,0.0,0.0,0.0,0.0,21.6,torch.float32,torch.float32
"U[-0.2, -0.1]",,add,0.0,0.0,0.0,0.0,0.0,20.3,torch.float32,torch.float32
"U[-2, 2]",,add,0.0,0.0,0.0,0.0,0.0,36.9,torch.float32,torch.float32
"U[0.1, 0.2]",,add,0.0,0.0,0.0,0.0,0.0,20.9,torch.float32,torch.float32
"U[1, 2]",,add,0.0,0.0,0.0,0.0,0.0,25.0,torch.float32,torch.float32
"U[1.1, 1.2]",,add,0.0,0.0,0.0,0.0,0.0,22.3,torch.float32,torch.float32
"U[10, 20]",,add,0.0,0.0,0.0,0.0,0.0,25.8,torch.float32,torch.float32
"U[-40, -20]",,add,0.0,0.0,0.0,0.0,0.0,25.1,torch.float32,torch.float32
"U[-6, -2]",,add,0.0,0.0,0.0,0.0,0.0,22.8,torch.float32,torch.float32
"U[-6.1, -1.2]",,add,0.0,0.0,0.0,0.0,0.0,24.7,torch.float32,torch.float32
"U[-2, -0.2]",,add,0.0,0.0,0.0,0.0,0.0,23.1,torch.float32,torch.float32
"U[[-6, -2], [2, 6]]",,add,0.0,0.0,0.0,0.0,0.0,47.599999999999994,torch.float32,torch.float32
"U[0.2, 2]",,add,0.0,0.0,0.0,0.0,0.0,22.1,torch.float32,torch.float32
"U[2, 6]",,add,0.0,0.0,0.0,0.0,0.0,23.3,torch.float32,torch.float32
"U[1.2, 6]",,add,0.0,0.0,0.0,0.0,0.0,25.5,torch.float32,torch.float32
"U[20, 40]",,add,0.0,0.0,0.0,0.0,0.0,25.8,torch.float32,torch.float32
"U[-20, -10]",,sub,0.0,0.0,0.0,0.0,0.0,80.30000000000001,torch.float32,torch.float32
"U[-2, -1]",,sub,0.0,0.0,0.0,0.0,0.0,78.7,torch.float32,torch.float32
"U[-1.2, -1.1]",,sub,0.0,0.0,0.0,0.0,0.0,97.2,torch.float32,torch.float32
"U[-0.2, -0.1]",,sub,0.0,0.0,0.0,0.0,0.0,79.9,torch.float32,torch.float32
