range,range type,operation,failure rate (1E-4)%,failure rate (1E-5)%,failure rate (1E-6)%,failure rate (1E-7)%,failure rate (1E-8)%,failure rate (equality)%,train type,target type
"U[-20, -10]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-2, -1]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-1.2, -1.1]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-0.2, -0.1]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-2, 2]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[0.1, 0.2]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[1, 2]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[1.1, 1.2]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[10, 20]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-40, -20]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-6, -2]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-6.1, -1.2]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-2, -0.2]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[[-6, -2], [2, 6]]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[0.2, 2]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[2, 6]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[1.2, 6]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[20, 40]",,add,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-20, -10]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-2, -1]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-1.2, -1.1]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-0.2, -0.1]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-2, 2]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[0.1, 0.2]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[1, 2]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[1.1, 1.2]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[10, 20]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-40, -20]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-6, -2]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-6.1, -1.2]",,sub,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
